year,age,total_flow,dropped,self_loop,used_interrole
2006,10세이하,1786194,4795,1093429,687970
2006,10대,1533820,3497,1001670,528653
2006,20대,2533963,7845,1118009,1408109
2006,30대,2921357,6663,1555588,1359106
2006,40대,1923403,4183,1132933,786287
2006,50대,942369,2275,508380,431714
2006,60대,583902,1568,301556,280778
2006,70대이상,448723,1433,226320,220970
2007,10세이하,1628663,3800,990217,634646
2007,10대,1502480,3021,960759,538700
2007,20대,2425380,6737,1053520,1365123
2007,30대,2755303,5865,1435400,1314038
2007,40대,1871861,4042,1081527,786292
2007,50대,953831,2543,504824,446464
2007,60대,581707,1683,296040,283984
2007,70대이상,484703,1623,236680,246400
2008,10세이하,1556776,3770,948737,604269
2008,10대,1484062,2948,951915,529199
2008,20대,2274965,5958,1001469,1267538
2008,30대,2646880,5902,1376827,1264151
2008,40대,1867187,3852,1080481,782854
2008,50대,1006066,2492,532270,471304
2008,60대,589108,1529,301404,286175
2008,70대이상,449670,1401,231447,216822
2009,10세이하,1477283,3909,908038,565336
2009,10대,1446257,2707,929084,514466
2009,20대,2100243,5359,925216,1169668
2009,30대,2541165,5919,1319868,1215378
2009,40대,1869758,3782,1085015,780961
2009,50대,1039215,2364,549909,486942
2009,60대,576643,1379,293930,281334
2009,70대이상,471315,1285,239906,230124
2010,10세이하,1374044,3381,842834,527829
2010,10대,1395113,3646,898335,493132
2010,20대,1994312,5569,873168,1115575
2010,30대,2483896,5682,1270174,1208040
2010,40대,1829110,3639,1069439,756032
2010,50대,1090803,2542,590360,497901
2010,60대,558440,1283,295522,261635
2010,70대이상,459658,1182,246610,211866
2011,10세이하,1361838,3926,851417,506495
2011,10대,1404898,3078,917663,484157
2011,20대,1921021,5225,861955,1053841
2011,30대,2471573,6528,1287874,1177171
2011,40대,1834338,4283,1100721,729334
2011,50대,1174498,2993,651127,520378
2011,60대,562693,1504,302435,258754
2011,70대이상,474341,1447,256336,216558
2012,10세이하,1225844,0,764450,461394
2012,10대,1231578,0,789203,442375
2012,20대,1756927,0,766301,990626
2012,30대,2287338,0,1166613,1120725
2012,40대,1683651,0,991963,691688
2012,50대,1113727,0,609925,503802
2012,60대,519089,0,274065,245024
2012,70대이상,444271,0,236793,207478
2013,10세이하,1242659,0,789419,453240
2013,10대,1178555,0,771167,407388
2013,20대,1694123,0,758855,935268
2013,30대,2276820,0,1178464,1098356
2013,40대,1690942,0,1015749,675193
2013,50대,1151327,0,649002,502325
2013,60대,535394,0,289821,245573
2013,70대이상,468584,0,253627,214957
2014,10세이하,1246906,0,796497,450409
2014,10대,1153906,0,755424,398482
2014,20대,1747698,0,780620,967078
2014,30대,2301410,0,1184437,1116973
2014,40대,1764730,0,1059582,705148
2014,50대,1238426,0,700316,538110
2014,60대,585101,0,319770,265331
2014,70대이상,496088,0,273734,222354
2015,10세이하,1225988,0,786083,439905
2015,10대,1121236,0,734315,386921
2015,20대,1823004,0,814091,1008913
2015,30대,2264859,0,1162911,1101948
2015,40대,1794123,0,1076475,717648
2015,50대,1311925,0,745496,566429
2015,60대,652192,0,359089,293103
2015,70대이상,514431,0,288032,226399
2016,10세이하,1125081,0,713283,411798
2016,10대,982872,0,635232,347640
2016,20대,1781742,0,779859,1001883
2016,30대,2111368,0,1070303,1041065
2016,40대,1653748,0,982829,670919
2016,50대,1255229,0,711720,543509
2016,60대,664217,0,363691,300526
2016,70대이상,500062,0,279267,220795
2017,10세이하,1048200,0,656485,391715
2017,10대,904066,0,571919,332147
2017,20대,1772060,0,757538,1014522
2017,30대,2005346,0,997302,1008044
2017,40대,1568255,0,915703,652552
2017,50대,1210732,0,681962,528770
2017,60대,670896,0,365592,305304
2017,70대이상,495461,0,275689,219772
2018,10세이하,1026670,0,642225,384445
2018,10대,870311,0,546072,324239
2018,20대,1847339,0,782228,1065111
2018,30대,1995778,0,988165,1007613
2018,40대,1546912,0,898332,648580
2018,50대,1229749,0,692571,537178
2018,60대,709944,0,388235,321709
2018,70대이상,521574,0,290031,231543
2019,10세이하,933647,0,583929,349718
2019,10대,823051,0,502279,320772
2019,20대,1889192,0,779391,1109801
2019,30대,1903291,0,932607,970684
2019,40대,1469791,0,843239,626552
2019,50대,1193325,0,671561,521764
2019,60대,710508,0,388883,321625
2019,70대이상,506515,0,282859,223656
2020,10세이하,981274,0,617934,363340
2020,10대,856754,0,543295,313459
2020,20대,2089975,0,874087,1215888
2020,30대,2047564,0,1005420,1042144
2020,40대,1616334,0,938745,677589
2020,50대,1323891,0,753743,570148
2020,60대,845354,0,465690,379664
2020,70대이상,571719,0,324866,246853
2021,10세이하,811262,0,502222,309040
2021,10대,747765,0,460569,287196
2021,20대,2013347,0,797970,1215377
2021,30대,1835752,0,869404,966348
2021,40대,1428504,0,808280,620224
2021,50대,1207239,0,670624,536615
2021,60대,840306,0,454414,385892
2021,70대이상,549839,0,306217,243622
2022,10세이하,632008,0,379877,252131
2022,10대,627522,0,362488,265034
2022,20대,1756410,0,651523,1104887
2022,30대,1536685,0,699434,837251
2022,40대,1172107,0,643193,528914
2022,50대,1002856,0,543919,458937
2022,60대,710732,0,381252,329480
2022,70대이상,456534,0,254561,201973
2023,10세이하,654676,0,397219,257457
2023,10대,639225,0,372654,266571
2023,20대,1672960,0,611266,1061694
2023,30대,1612841,0,732938,879903
2023,40대,1186757,0,654195,532562
2023,50대,978331,0,526929,451402
2023,60대,698673,0,372940,325733
2023,70대이상,445630,0,246953,198677
2024,10세이하,646322,0,397127,249195
2024,10대,664742,0,390193,274549
2024,20대,1690499,0,613110,1077389
2024,30대,1675020,0,764908,910112
2024,40대,1202116,0,669294,532822
2024,50대,1018476,0,558392,460084
2024,60대,726096,0,392662,333434
2024,70대이상,461318,0,257121,204197
2025,10세이하,561248,0,339428,221820
2025,10대,639883,0,363436,276447
2025,20대,1635682,0,564333,1071349
2025,30대,1625135,0,709966,915169
2025,40대,1137965,0,615585,522380
2025,50대,991688,0,533318,458370
2025,60대,727216,0,387568,339648
2025,70대이상,482159,0,265390,216769
